Radius,Normalized_Density
0.0005,6.983377869390589
0.001,6.983377869390589
0.0015,6.983377869390591
0.002,6.983377869390589
0.0025,6.97868789096924
0.003,6.97868789096924
0.0035,6.97868789096924
0.004,6.973997912547888
0.0045,6.973997912547888
0.005,6.969307934126537
0.0055,6.969307934126539
0.006,6.964617955705189
0.0065,6.9646179557051875
0.007,6.959927977283837
0.0075,6.955237998862487
0.008,6.950548020441136
0.0085,6.945858042019786
0.009,6.941168063598436
0.0095,6.936478085177086
0.01,6.931788106755736
0.0105,6.927098128334385
0.011,6.922408149913035
0.0115,6.917718171491685
0.012,6.9083382146489845
0.0125,6.9036482362276335
0.013,6.898958257806283
0.0135,6.889578300963582
0.014,6.884888322542233
0.0145,6.875508365699532
0.015,6.870818387278182
0.0155,6.861438430435482
0.016,6.856748452014131
0.0165,6.84736849517143
0.017,6.83798853832873
0.0175,6.828608581486029
0.018,6.81922862464333
0.0185,6.809848667800628
0.019,6.8004687109579285
0.0195,6.791088754115227
0.02,6.781708797272527
0.0205,6.772328840429826
0.021,6.762948883587125
0.0215,6.753568926744425
0.022,6.744188969901725
0.0225,6.7348090130590235
0.023,6.720739077794973
0.0235,6.711359120952273
0.024,6.697289185688222
0.0245,6.687909228845519
0.025,6.67852927200282
0.0255,6.66445933673877
0.026,6.650389401474719
0.0265,6.641009444632019
0.027,6.626939509367968
0.0275,6.612869574103917
0.028,6.603489617261215
0.0285,6.589419681997164
0.029,6.575349746733113
0.0295,6.5612798114690625
0.03,6.55189985462636
0.0305,6.537829919362311
0.031,6.52375998409826
0.0315,6.5096900488342095
0.032,6.495620113570158
0.0325,6.481550178306108
0.033,6.467480243042057
0.0335,6.4534103077780065
0.034,6.434650394092604
0.0345,6.420580458828552
0.035,6.406510523564503
0.0355,6.3924405883004525
0.036,6.378370653036401
0.0365,6.359610739350999
0.037,6.34554080408695
0.0375,6.331470868822898
0.038,6.312710955137496
0.0385,6.298641019873448
0.039,6.279881106188046
0.0395,6.265811170923995
0.04,6.247051257238592
0.0405,6.232981321974542
0.041,6.2142214082891405
0.0415,6.200151473025089
0.042,6.181391559339688
0.0425,6.167321624075638
0.043,6.148561710390236
0.0435,6.129801796704835
0.044,6.115731861440785
0.0445,6.096971947755383
0.045,6.078212034069983
0.0455,6.064142098805932
0.046,6.0453821851205305
0.0465,6.026622271435129
0.047,6.007862357749729
0.0475,5.993792422485677
0.048,5.975032508800276
0.0485,5.956272595114876
0.049,5.9375126814294745
0.0495,5.918752767744073
0.05,5.89999285405867
0.0505,5.88592291879462
0.051,5.8671630051092185
0.0515,5.848403091423818
0.052,5.829643177738417
0.0525,5.810883264053016
0.053,5.792123350367614
0.0535,5.773363436682213
0.054,5.7546035229968115
0.0545,5.73584360931141
0.055,5.71708369562601
0.0555,5.6983237819406085
0.056,5.679563868255207
0.0565,5.660803954569806
0.057,5.6420440408844055
0.0575,5.623284127199003
0.058,5.604524213513602
0.0585,5.5857642998282
0.059,5.567004386142799
0.0595,5.548244472457399
0.06,5.529484558771998
0.0605,5.510724645086596
0.061,5.491964731401195
0.0615,5.473204817715794
0.062,5.454444904030393
0.0625,5.435684990344992
0.063,5.416925076659591
0.0635,5.398165162974189
0.064,5.379405249288789
0.0645,5.3559553571820375
0.065,5.337195443496636
0.0655,5.318435529811235
0.066,5.299675616125834
0.0665,5.280915702440432
0.067,5.262155788755032
0.0675,5.24339587506963
0.068,5.224635961384229
0.0685,5.205876047698827
0.069,5.187116134013426
0.0695,5.168356220328024
0.07,5.149596306642623
0.0705,5.130836392957223
0.071,5.112076479271821
0.0715,5.093316565586421
0.072,5.069866673479669
0.0725,5.051106759794268
0.073,5.032346846108866
0.0735,5.013586932423466
0.074,4.994827018738064
0.0745,4.976067105052663
0.075,4.957307191367263
0.0755,4.938547277681861
0.076,4.91978736399646
0.0765,4.901027450311058
0.077,4.8822675366256565
0.0775,4.863507622940256
0.078,4.844747709254854
0.0785,4.825987795569454
0.079,4.807227881884052
0.0795,4.788467968198651
0.08,4.76970805451325
0.0805,4.750948140827849
0.081,4.732188227142448
0.0815,4.7134283134570465
0.082,4.694668399771645
0.0825,4.677784477454784
0.083,4.659024563769383
0.0835,4.640733647926117
0.084,4.622442732082852
0.0845,4.604151816239585
0.085,4.585860900396319
0.0855,4.567569984553052
0.086,4.549279068709786
0.0865,4.53098815286652
0.087,4.5131662348653885
0.0875,4.494875319022124
0.088,4.477053401020992
0.0885,4.458762485177725
0.089,4.440940567176595
0.0895,4.423118649175463
0.09,4.4052967311743325
0.0905,4.387474813173201
0.091,4.36965289517207
0.0915,4.351830977170939
0.092,4.334009059169808
0.0925,4.316656139010813
